Question,Answer,Age,Sex
9. How did the Coronavirus start?,I don’t know it just came out of nowhere.,8,m
10. If you had to wear protective clothing to help you what would it be?,Hunting clothes.,8,m
11. Are you enjoying the lockdown?,"Well not really, because I don’t get to see everybody.",8,m
12. What is the best thing about having to stay home?,Getting to see your family.,8,m
1. What is the corona virus?,"L: a virus, basically the flu only deadlier",8,f
2. Who is the President?,L: Donald Trump,8,f
3. How many days have we been in lockdown?,L: 90 days,8,f
4. Do you want to go back to school?,"L: kind of yes, I miss my friends",8,f
5. Who is the first person you are going to hug when lockdown is over?,L: Emelia and Myla,8,f
6. Where is the first place you want to go?,L: Disney,8,f
7. What do you think we can do to get rid of the Coronavirus?,"L: staying at home, staying 6ft away from people",8,f
8. Is mommy a good teacher?,L: you are not really my teacher but yes I guess.,8,f
9. How did the Coronavirus start?,L: China,8,f
10. If you had to wear protective clothing to help you what would it be?,L: mask- a unicorn Halloween mask and cute gloves,8,f
11. Are you enjoying lockdown?,L: kind of kind of not maybe 30%,8,f
12. Do you know what lockdown is?,L: stay at home as much as you can,8,f
1. What is Coronavirus?,A bad virus,8,m
2. Who is the president?,Donald Dump,8,m
3. How many days have we been in lockdown?,Uhhh...like a month,8,m
4. Do you want to go back to school/daycare?,No,8,m
5. Who is the first person you are going to hug when lockdown is over?,You mama,8,m
6. Where is the first place you want to go?,Hawaii,8,m
7. What do you think we can do to get rid of the Coronavirus?,Wash our hands,8,m
8. Am I good teacher?,Yes,8,m
9. How did the Coronavirus start?,People were eating bats.,8,m
10. If you had to wear protective clothing to help you what would it be?,A hazmat suit,8,m
11. Are you enjoying lockdown?,"Yes, everything about it.",8,m
2. Who is the president?,J and I in unison (to the beat of baby shark): Donald Trump doo doo doo doo doo doo,8,m
4. Do you want mommy and daddy to go back to work and the kids back to school?,Both: no,8,m
8. Are your parents good teachers?,They both hesitated...,8,m
11. Are you enjoying lockdown?,Both: yup,8,m
1. What is the Coronavirus?,“it's a virus”,8,f
2. Who is the president?,“Donald trump”,8,f
3. How many days have we been in lockdown?,“45?”,8,f
4. Do you want to go back to school?,“YES.”,8,f
5. Who is the first person you are going to hug when lockdown is over?,"“My bffs""",8,f
6. Where is the first place you want to go?,“I wanna go to St. Louis”,8,f
7. What do you think we can do to get rid of the Coronavirus?,"""Stay home and wash hands for 20 seconds”",8,f
8. Is mom a good teacher?,“yes”,8,f
9. How did the Coronavirus start?,“by an animal”,8,f
10. If you had to wear protective clothing to help you what would it be?,"“masks, gloves, long pants and long sleeves""",8,f
11. Are you enjoying the lockdown?,"“No.""",8,f
"12. What date will everything go back to ""normal""?","""October 3rd""",8,f
1. What is the Coronavirus,  I have no clue,8,?
2. Who is the president,"""President Trump.""",8,?
3. How many days have we been in lockdown," “2 months, right is it 3 months",8,?
4. Do you want to go back to school, “no”,8,?
5. Who is the first person you are going to hug when lockdown is over," “hayden""",8,?
6. Where is the first place you want to go, “waterloo(waterpark)”,8,?
7. What do you think we can do to get rid of the coronavirus, “keep people home unless you need something important”,8,?
8. Is mom a good teacher,  “um No”,8,?
9. How did the Coronavirus start," “It came from bat poop in china on someone's food n they ate it""...giggles",8,?
"10. If you had to wear protective clothing to help you, what would it be", “cloths made out of masks”,8,?
11. Are you enjoying the lockdown, “No.”,8,?
12. What is your favorite thing we do at home," “watch tv and play""",8,?
1. What is the corona virus? ,The worst thing in the world,8,f
1. What is the corona virus?,•• Kinda like a disease that you can get.,8,f
2. Do you know who the president is?,•• Donald Trump,8,f
3. How many days have we been in lockdown?,"•• Uh, idk. About 2 months",8,f
4. Do you want to go back to school/daycare?,•• No,8,f
5. Who is the first person you’re going to hug when lockdown is over?,•• T-Paw,8,f
6. Where is the first place you want to go?,"•• Disney World. (Me too, girl.. me too)",8,f
7. What do you think we can do to get rid of the corona virus?,•• Stay in our houses.,8,f
8. Am I a good teacher?,•• Yes.,8,f
9. How did the corona virus start?,•• It came from animals. I think. Idk.,8,f
10. If you had to wear protective clothing to help you what would you wear?,•• A bubble,8,f
1. What is the Coronavirus?,It’s a sickness,8,m
3. How many days have we been in lockdown?,10 weeks,8,m
4. Do you want to go back to school?,NO!,8,m
5. Who is the first person you are going to hug when lockdown is over? ,My cousins,8,m
6. Where is the first place you want to go?,Chipotle,8,m
7. What do you think we can do to get rid of the Coronavirus?,People need to stay in their state from where they came from,8,m
8. Is mom a good teacher?,Yes,8,m
9. How did the Coronavirus start?,People were trying to get out of their state,8,m
"10. If you had to wear protective clothing to help you, what would it be?",Stay home,8,m
11. Are you enjoying the lockdown?,No!,8,m
12. What is your favorite thing we do at home?,Spend time with family,8,m
1. What is the Coronavirus,A very bad sickness,8,f
1. What is the Coronavirus?,It’s a sickness that can kill you. It makes you not be able to breathe. High fever. And that’s it.,8,f
2. Who is the president?,Donald Trump - he is a mean person,8,f
3. How many days have we been in lockdown?,Two months and a half,8,f
4. Do you want to go back to school?,Yes - I miss it very much,8,f
5. Who is the first person you are going to hug when lockdown is over?,Grandma (MaryBeth Stewart),8,f
6. Where is the first place you want to go?,Maine,8,f
7. What do you think we can do to get rid of the Coronavirus?,"Stay home, and when you leave your house, wear masks. And don’t touch other people who don’t live with you.",8,f
8. Is mom a good teacher?,Yes,8,f
9. How did the Coronavirus start?,Ummmmm... COVID-19?,8,f
"10. If you had to wear protective clothing to help you, what would it be?","A mask. Maybe like gloves, so I can touch other people.",8,f
11. Are you enjoying the lockdown?,No. I miss my friends at school and my family - seeing people in person.,8,f
12. What is your favorite part of lockdown?,Morning school routine and getting to use more screens,8,f
1. What is the Coronavirus,Germs,8,m
2. Who is the president,Donald Trump,8,m
3. How many days have we been in lockdown,53,8,m
4. Do you want to go back to church?,Yes,8,m
5. Who is the first person you are going to hug when lockdown is over,Nat Nat Natalie Scott,8,m
6. Where is the first place you want to go,Water park,8,m
7. What do you think we can do to get rid of the Coronavirus,Quarantine,8,m
8. Is mom a good teacher,Kinda,8,m
9. How did the Coronavirus start,It spread in China,8,m
10. If you had to wear protective clothing to help what would it be,A face mask,8,m
11. Are you enjoying the lockdown,No,8,m
12. Are you scared of the Coronavirus,"Yes, I’m afraid my family will get sick.",8,m
13. Do you think you could get the Corona virus,"Yes, if I had bad parents and they took me to Walmart .",8,m
1. What is the Corona virus?,NA,8,f
2. Who is the prime minister?,Boris Johnson,8,f
3. How many days have we been in lockdown?,8 weeks... About 56 days,8,f
4. What does mammy wear most days?,Jeans and t shirt,8,f
5. Do you want to go back to school?,Yes!!,8,f
6. Who is the first person you are going to hug when lockdown ends?,My friends,8,f
7. Where is the first place you want to go?,School,8,f
8. What do you think we can do to get rid of the Corona virus?,Wash our hands and keep our distance,8,f
9. Is mammy a good teacher?,Yes,8,f
10. If corona virus was an animal what animal would it be?,A Bat,8,f
11. How did the Corona Virus start?,"It was a bat, someone ate it in China",8,f
12.If you had to wear protective clothing to help you what would it be?,A visa mask thingy,8,f
1. What is the Coronavirus?,It's a virus that’s spreading,8,m
2. Who is the prime minister?,I don’t know anything about the prime minister ~ is he like the king or something,8,m
3. How many days have we been in lockdown?,Probably 10 weeks,8,m
4. What is Mum wearing today?,A dress. I mean work out clothes,8,m
5. Do you want kinder/school to go back to normal?,Yes!,8,m
6. Who is the first person you are going to hug when lockdown ends?,You!,8,m
7. Where is the first place you want to go?,Laos,8,m
8. What do you think we can do to get rid of the corona virus?,Help each other,8,m
9. Is mum a good teacher?,Sometimes,8,m
10. If coronavirus was an animal what animal would it be?,A donkey,8,m
11. How did the Coronavirus start?,By someone eating a bat or a sick animal,8,m
"12.If you had to wear protective clothing, what would it be?",Gloves,8,m
1. What is the Coronavirus?,It's a deadly virus,8,m
2. Who is the president?,Trump,8,m
3. How many days have we been in lockdown?,Too many to count,8,m
5. Who is the first person you are going to hug when lockdown is over?,Rich and Stacy Kalisz Johnson,8,m
6. Where is the first place you want to go?,Arizona,8,m
7. What do you think we can do to make the coronavirus go away?,Social distance,8,m
8. Is Mama a good teacher?,No (laughing),8,m
9. How did the Coronavirus start?,By getting together,8,m
"10. If you had to wear protective clothing to help you, what would it be?",Face shield,8,m
11. Are you enjoying the lockdown?,No,8,m
12. What is the best thing about having to stay home?,Nothing.,8,m
1. What is the Coronavirus?,"B: a horrible thing, the worst thing that ever happened",8,m
2. Who is the president?,B: Donald Trump,8,m
3. How many days have we been in lockdown?,B: I don’t know,8,m
4. Do you want to go back to school?,B:not really,8,m
5. Who is the first person you are going to hug when lockdown is over?,"B: um, mom, I mean Brielle",8,m
6. Where is the first place you want to go?,B: Disney,8,m
7. What do you think we can do to get rid of the coronavirus?,B: keep everybody away from each other,8,m
8. Are mommy and daddy good teachers?,B: yes,8,m
9. How did the Coronavirus start?,"B: um, people were experimenting on animals and it mutated enough to infect people",8,m
10. If you had to wear protective clothing to help you what would it be?,"B: stay inside, wear a hazmat suit, complete with hiding in your attic or basement",8,m
11. Are you enjoying the lockdown?,B: no!!!,8,m
12. What is the best thing about having to stay home?,"B: Minecraft, Minecraft, Minecraft, Minecraft....",8,m
1. What is the Coronavirus?,Something that can get you very sick and sometimes die and sometimes get better.,8,m
3. How many days have we been in lockdown?,Drayden- 50,8,m
4. Do you want to go back to school?,D- no,8,m
5. Who is the first person you are going to hug when lockdown is over?,D- my grandmas.,8,m
6. Where is the first place you want to go?,D- LEGO land,8,m
7. What do you think we can do to get rid of the Coronavirus?,D- buy a bunch of soap and put it everywhere in the World,8,m
8. Is mommy a good teacher:,Both- yes!,8,m
9. How did the Coronavirus start?,D- maybe a bunch of people were already sick and coughed everywhere,8,m
10. If you had to wear protective clothing to help you what would it be?,D- shiny armor,8,m
11. Are you enjoying lockdown?,D- yes,8,m
1. What is the Coronavirus?,Like people get sick and your lungs start hurting and you cough. People can die from it.,8,f
2. Who is the president?,Donald Trump,8,f
3. How many days have we been in lockdown?,1 month 2 weeks,8,f
4. Do you want to go back to school?,Yes!,8,f
5. Who is the first person you are going to hug when lockdown is over? My friends and Mrs,Page-Hunter,8,f
6. Where is the first place you want to go?,My friends house,8,f
7. What do you think we can do to get rid of the Coronavirus?,I have no clue,8,f
8. Is mommy a good teacher?,Yes,8,f
9. How did the Coronavirus start?,In China,8,f
10. If you had to wear protective clothing to help you what would it be?,How would I know?  A mask?,8,f
11. Are you enjoying lockdown?,Not even close,8,f
12. Do you like Mommy?,"Yeah, I don't like her, I love her.",8,f
2. Who is the prime minister?,Don't know,8,m
3. How many days have we been in lock down?,800,8,m
4. What is mummy wearing today?,Tshirt and jeans,8,m
5. Do you want to go back to school?,No,8,m
6. Who is the first person you are going to hug when lockdown ends?,Nanny,8,m
7. Where is the first place you want to go?,Smyths toy shop,8,m
8. What do you think we can do to get rid of the coronavirus?,Nuke the world,8,m
9. Is mummy a good teacher?,No,8,m
10. If coronavirus was an animal what animal would it be?,A bird,8,m
11. How did the coronavirus start?,A dead animal,8,m
12.If you had to wear protective clothing to help you what would you wear?,Gasman suit,8,m
Answered by: Jonah Age 9,NA,9,m
1. What is the coronavirus?,A virus,9,f
2. Who is the president?,Donald Trump,9,f
3. How many days have we been in lockdown?,A few months,9,f
4. Do you want to go back to school/daycare?,No,9,f
5. Who is the first person you are going to hug when lockdown is over?,No one,9,f
6. Where is the first place you want to go?,Main Event,9,f
7. What do you think we can do to get rid of the Coronavirus?,Nothing,9,f
8. Are mommy and daddy good teachers?,Yes?,9,f
9. How did the Coronavirus start?,In China,9,f
10. If you had to wear protective clothing to help you what would it be?,Gloves,9,f
11. Are you enjoying the lockdown?,Yes,9,f
12. What do you like most about being on lockdown?,Being with Roxy (dog),9,f
1. What is the Coronavirus?,the begging of a zombie apocalypse,9,m
2. Who is the president?,Donald Dump,9,m
3. How many days have we been in lockdown?,2000 days,9,m
4. Do you want to go back to school/daycare?,Now why would you ask that question? No of course not,9,m
5. Who is the first person you are going to hug when lockdown is over?,My girlfriend,9,m
6. Where is the first place you want to go?,Six flags,9,m
7. What do you think we can do to get rid of the Coronavirus?,Shoot everyone with it,9,m
8. Am I good teacher?,Who said you are a teacher,9,m
9. How did the Coronavirus start?,The Chinese people,9,m
10. If you had to wear protective clothing to help you what would it be?,"Boots, jeans and a T-shirt",9,m
11. Are you enjoying lockdown?,No of course not except politics are gone,9,m
1. What is the coronavirus?,D- something that we can’t fight because we don’t know mich about it,9,m
2. Who is the president?,D- Trump,9,m
3. How many days have we been in lockdown?,D- 43 (definitely the closest),9,m
4. Do you want to go back to school?,D- yes please,9,m
5. Who is the first person you are going to hug when lockdown is over?,D-Grandma & Granny,9,m
6. Where is the first place you want to go?,D- Mozingo Lake,9,m
7. What do you think we can do to get rid of the Coronavirus ?,D- hire more scientists to get a cure,9,m
8. Is mommy a good teacher?,D- Yes,9,m
9. How did the Coronavirus start?,D-A bat,9,m
10. If you had to wear protective clothing to help you what would it be?,D- mask,9,m
11. Are you enjoying lockdown?,D- NO!!!!,9,m
12. What’s been your favorite part of the lockdown?,D- more time with my family,9,m
1. What is the Coronavirus?,M: a germ,9,f
2. Who is the president?,M: Um I’m trying to think of his name.  What is his name... I’m thinking hold on.. Donald Trump,9,f
3. How many days have we been in lockdown?,M: 20 something days,9,f
4. Do you want to go back to school?,M:  Yes,9,f
5. Who is the first person you are going to hug when lockdown is over?,M: Reagan,9,f
6. Where is the first place you want to go?,M:  Six Flags,9,f
7. What do you think we can do to get rid of the Coronavirus?,M: Pray to God and stay inside,9,f
8. Am I a good Teacher?,M: uh... last time I checked you weren’t a teacher . (Me) I gave you your assignments,9,f
9. How did the Coronavirus start?,"M:  there are many stories, from dog to man.. I don’t know from China or maybe a spider",9,f
10. If you had to wear protective clothing to help you what would it be?,"M: mask, gloves and if it’s bad a suit",9,f
11. Are you enjoying the lockdown?,M: kinda,9,f
12. What is the best thing about having to stay home?,M:  I get to ride my bike and not go to school.,9,f
1. What is the Coronavirus?,Bryn - A sickness that’s the world’s craziest thing since the depression.,9,?
2. Who is the president?,Both - Trump,9,?
3. How many days have we been in lockdown?,Bryn - Three months,9,?
4. Do you want school to start back up?,Bryn - Yes.....actually no....actually yeah.,9,?
5. Who is the first person you are going to hug when lockdown is over?,Bryn - Emma,9,?
6. Where is the first place you want to go?,Bryn - The pool,9,?
7. What do you think we can do to get rid of the Coronavirus?,Bryn - Nothing,9,?
8. Are mommy and daddy good teachers?,Bryn - Ehhhhh.....,9,?
9. How did the Coronavirus start?,Bryn - I don’t know.,9,?
10. If you had to wear protective clothing to help you what would it be?,"Bryn - A mask....no, gloves.",9,?
11. Are you enjoying lockdown?,"Bryn - Ummmm, kinda",9,?
1. What is the Coronavirus?,"M-a virus, a bad one",9,m
2. Who is the president?,M- Donald Trump,9,m
3. How many days have we been in lockdown?,M- 50,9,m
4. Do you want to go back to school?,M- kind of,9,m
5. Who is the first person you are going to hug when lockdown is over?,M- Corbin or KJ,9,m
6. Where is the first place you want to go?,M- Florida,9,m
7. What do you think we can do to get rid of the Coronavirus?,M- Wear masks and stay 6ft away from people,9,m
8. Is mom a good teacher?,M- ya,9,m
9. How did the Coronavirus start?,M- animals started it,9,m
10. If you had to wear protective clothing to help you what would it be?,M- mask,9,m
11. Are you enjoying the lockdown?,M- kind of,9,m
1. What is the Corona virus?,Both boys: It’s a disease,9,m
2. Who is the President? Trump,Trump,9,m
3. How many days have we been in lockdown?,Jr: like 2 months,9,m
4. Do you want to go back to school?     Inoke: Yeah kinda but not really...      ,Jr: (shakes his head “no”),9,m
5. Who is the first person you are going to hug when lockdown is over?,Jr: My mommy (which he does already ),9,m
6. Where is the first place you want to go?,Jr: To the trampoline place then inside Mc Donalds to eat..,9,m
7. What do you think we can do to get rid of the Corona virus?,"Jr: Wash hands, take showers, wear masks and use hand sanitizer...",9,m
8. Is Mommy a good teacher?,Jr: Yes,9,m
9. How did the Corona Virus start?,Jr: People in China ate bat soup and got sick from it... (i have no idea how it was caused; but apparently my boys do ),9,m
10. If you had to wear protective clothing to help you what would it be?,Jr: Umm a diaper haha just kidding umm i would wear a Azmenat suit.. (Pretty sure he means a hazmat suit),9,m
11. Are you enjoying lockdown?,Jr: a little,9,m
1. What is the Coronavirus?,It’s a Chinese scientist made illness trying to lower the population on earth.,9,f
3. How many days have we been in lockdown?,64,9,f
4. Do you want to go back to school?,"Yes, I miss all my teachers and friends and especially guinea pigs.",9,f
5. Who is the first person you are going to hug when lockdown is over?,My teachers in a group hug.,9,f
6. Where is the first place you want to go?,Los Charros,9,f
7. What do you think we can do to get rid of the Coronavirus?,"Stay home, happy thoughts, keep taking medication and be positive.",9,f
8. Am I a good teacher?,Yes.,9,f
9. How did the coronavirus start?,A few Chinese scientists wanted the world population to go down a bit so they made a sickness to lower it down.,9,f
10. If you had to wear protective clothing to help you what would it be?,Mask,9,f
11. Are you enjoying the lockdown?,Not really because I don’t get to see all my friends.,9,f
12. What is the best thing about having to stay home?,"More time to swim, play with dogs and more time to just be with family.",9,f
1. What is the Coronavirus?,A virus that’s flu like and not going to destroy the world.,9,m
2. Who is the president?,Donald Trump,9,m
3. How many days have we been in lockdown?,"300 billion, 1 thousand",9,m
4. Do you want to go back to school?,50/50,9,m
5. Who is the first person you are going to hug when lockdown is over?,Mommy,9,m
6. Where is the first place you want to go?,Gamestop,9,m
7. What do you think we can do to get rid of the Coronavirus?,Stay home and do nothing.,9,m
8. Am I a good teacher?,Uuuugghhhh 70%,9,m
9. How did the coronavirus start?,By an evil taco.,9,m
10. If you had to wear protective clothing to help you what would it be?,"Potato.   No, face masks... made out of potatoes...",9,m
11. Are you enjoying the lockdown?,60%,9,m
12. What is the best thing about having to stay home?,"Potatoes.  No, video games, video games, video games.",9,m
1. What is the Coronavirus?,It is a bad virus that is spreading,9,m
1. What is the Coronavirus?,A virus,9,m
2. Who is the president, Donald Trump,9,m
3. How many days have we been in lockdown, 60 days,9,m
4. Do you want to go back to school, Kinda,9,m
5. Who is the first person you are going to hug when the virus is over, Everybody,9,m
6. Where is the first place you want to go, Deacons house Penny Dunn,9,m
7. What do you think we can do to get rid of the virus,  Wait for it to be over.,9,m
8. Is Mommy a good teacher," You don't teach me.  (In my defense, he pretty much done the e-learning on his own so he didn't need my help, lol)",9,m
9. How did the Coronavirus start, China,9,m
10. If you had to wear protective clothing to help you what would it be,  Wear a mask,9,m
11. Are you enjoying the lockdown, No... Not at all.,9,m
12. What is your favorite thing about staying home,  Video games,9,m
1. What is the Coronavirus?,It’s a virus that kills people and gets people sick,9,m
3. How many days have we been in lockdown?,120 days,9,m
4. Do you want to go back to school?,N-O,9,m
5. Who is the first person you are going to hug when lockdown is over?,Nana,9,m
6. Where is the first place you want to go?,Florida,9,m
7. What do you think we can do to get rid of the corona virus?,Stay 6 feet away,9,m
8. Is mom a good teacher?,N-O,9,m
9. How did the Coronavirus start?,By people in China eating Snakes and Bats,9,m
10. If you had to wear protective clothing to help you what would it be?,"Two pairs of pants , a long sleeve shirt, gloves, a mask, and a ball cap",9,m
11. Are you enjoying the lockdown?,Yes and no. I liked not having to go to school,9,m
12. Are you scared of the Corona virus?,Kind of,9,m
13. Do you think you could get the Corona virus?,"No, I’m too lucky",9,m
Answered by Rebekah age 9,NA,9,f
1. What is the Coronavirus?,“A virus”,9,f
2. Who is the president?,“Donald Trump”,9,f
3. How many days have we been in lockdown?,"""I have no idea (giggle)""",9,f
4. Do you want to go back to school?,“No! I want to be homeschooled.”,9,f
5. Who is the first person you are going to hug when lockdown is over?,“My Grandmas”,9,f
6. Where is the first place you want to go?,"“The Beach, Applebee’s and Olive Garden”",9,f
7. What do you think we can do to get rid of the Coronavirus?,"“Stay in quarantine""",9,f
8. Is mom a good teacher?,"“No (giggle)... My dad is better (giggle).""",9,f
9. How did the Coronavirus start?,“A man ate a bat”,9,f
"10. If you had to wear protective clothing to help you, what would it be?","“Mask, gloves and a yellow suit""",9,f
11. Are you enjoying the lockdown?,"""Yes, because I get to spend time with my family.""",9,f
1. What is the Coronavirus,Coronavirus is a disease that can kill you or give you a bad virus,9,f
2. Who is the president,Idk Donald Trump,9,f
3. How many days have we been in lockdown,I didn't really count,9,f
4. Do you want to go back to school,Yesss so I can get away from these stinky boys,9,f
5. Who is the first person you are going to hug when lockdown is over,Adaline,9,f
6. Where is the first place you want to go,The zoo,9,f
7. What do you think we can do to get rid of the Coronavirus,Be more healthy and be safe and be active and stay away from other people,9,f
8. Is your mom (or dad) a good teacher,Yea,9,f
9. How did the Coronavirus start,By a bat going into different kind of animals,9,f
10. If you had to wear protective clothing to help you what would it be,"Long sleeves, mask and that's it.",9,f
11. Are you enjoying the lockdown,No,9,f
12. Are you scared of the Coronavirus,Yes,9,f
13. Do you think you could get the Corona virus,No,9,f
2. Who is the president,Donald Trump,9,m
3. How many days have we been in lockdown,60 days,9,m
4. Do you want to go back to school,Kinda,9,m
5. Who is the first person you are going to hug when the virus is over,Everybody,9,m
6. Where is the first place you want to go,Deacons house Penny Dunn,9,m
7. What do you think we can do to get rid of the virus,Wait for it to be over.,9,m
8. Is Mommy a good teacher,"You don't teach me.  (In my defense, he pretty much done the e-learning on his own so he didn't need my help, lol)",9,m
9. How did the Coronavirus start,China,9,m
10. If you had to wear protective clothing to help you what would it be,Wear a mask,9,m
11. Are you enjoying the lockdown,No... Not at all.,9,m
12. What is your favorite thing about staying home,Video games,9,m
1. What is the Corona virus ?,It’s when people get really really really really sick,9,f
2. Who is the president?,Ummm I don’t know!,9,f
3. How many days have we been on  lockdown?,Ummm 90,9,f
4. Do you want to go back to school?,"Yes, Definitely! Home is too distracting",9,f
5. Who is the first person you are going to hug when lockdown is over?,Alice (her bff since Kinder).,9,f
6. Where is the first place you want to go?,Schlitterbahn,9,f
7. What do you think we can do to get rid of the Corona virus?,I feel like scientist will make a potion that everyone can drink and we will go to every house and cure people. Or it will just go away,9,f
8. Is mommy/daddy a good teacher?,Yep you make me do it,9,f
9. How did the Corona Virus start?,I don’t know I wasn’t there!,9,f
10. If you had to wear protective clothing to help you what would it be?,Ummm probably my sweater even though it would be hot,9,f
11. Are you enjoying lockdown?,No! Well sort of because I get to watch kids YouTube more,9,f
1. What is the Corona virus?,Jessie: a bug going round,9,f
2. Who is the prime minister?,Jessie: Borris johnson,9,f
3. How many days have we been in lockdown?,Jessie: 5 weeks,9,f
4. Do you want to go back to school,Jessie: hell yes!!!!,9,f
5. Who is the first person you are going to hug when lockdown is over?,Jessie: lyla,9,f
6. Where is the first place you want to go?,Jessie: McDonald's and Brandons house,9,f
7. What do you think we can do to get rid of the Corona virus,Jessie: stay home and stay away from each other,9,f
8. Is mum and dad fun to be isolated with,Jessie: no,9,f
9. How did the Corona Virus start?,Jessie: in china,9,f
10. If you had to wear protective clothing to help you what would it be?,Jessie: just my skin,9,f
11. Are you enjoying lockdown?,Jessie: yes,9,f
1. What is the Corona virus,A virus,9,m
2. Who is the prime minister,Poopy Johnston,9,m
3. How many days have we been in lockdown,forever,9,m
4. What does mummy wear most days,A Bra,9,m
5. Do you want to go back to school,Sort Of!!!,9,m
6. Who is the first person you are going to hug when this lockdown ends,Everyone,9,m
7. Where is the first place you want to go,my families house,9,m
8. What do you think we can do to get rid of the Corona virus,Wash our hands and Stay at home,9,m
9. Is mummy a good teacher,No,9,m
10. If corona virus was an animal what animal would it be,Biggest & fattest pig in the world,9,m
11. How did the Corona Virus start,A Bat,9,m
12.If you had to wear protective clothing to help you what would it be,A Giant Bubble,9,m
1. What is the Coronavirus?,Virus that can mutate very quickly and you gt sick like the flu,9,m
1. What is the Coronavirus, It is a chemical trying to make other people sick.,9,m
2. Who is the president," The worst guy in the world, Donald Trump, he's a butthead and a sore loser.",9,m
3. How many days have we been in lockdown, *did a bunch of brainsing* 75,9,m
4. Do you want to go back to school, Yesssssss!,9,m
5. Who is the first person you are going to hug when lockdown is over," My dad, my grandma, my whole family",9,m
6. Where is the first place you want to go," My dads, my grandma's, BillyBeez, Peggy and Patrick's!!",9,m
7. What do you think we can do to get rid of the Coronavirus," Make a chemical that is a ""GetAwayCorona"" using getaway snow and poison and spray...no wait..it can't be poison because we have to put it in someone's body....so we have to use vinegar and that's it.",9,m
8. Is mommy a good teacher: yes but she is kind of livid,NA,9,m
9. How did the Coronavirus start," It started by a country that made a chemical to kill people, was it Japan",9,m
10. If you had to wear protective clothing to help you what would it be, The BeeHiveKeeper suit and goggles and Corona-proof mask!,9,m
11. Are you enjoying lockdown, No  because I don't get to see the rest of my family.,9,m
1. What is the Corona virus?,B: a virus,9,f
2. Who is the prime minister?,B: Justin,9,f
3. How many days have we been in lockdown?,B: 90 something,9,f
4. Do you want to go back to school?,B: yes,9,f
5. Who is the first person you are going to hug when lockdown is over?,B: Brynleigh,9,f
6. Where is the first place you want to go?,B: The mall,9,f
7. What do you think we can do to get rid of the Corona virus?,B: wash your hands,9,f
8. Is mummy a good teacher?,B: depends on the subject,9,f
9. How did the Corona Virus start?,B: China,9,f
10. If you had to wear protective clothing to help you what would it be?,B: mask and use hand sanitizer,9,f
11. Are you enjoying lockdown?,B: NOOOO,9,f
1. What is the Coronavirus?,"It’s a Pandemic! The symptoms are, headaches, sore throat, stomach aches and fever",9,m
3. How many days have we been in lock down?,For about 7-8 weeks,9,m
4. Do you want to go back to school?,Yes! I want to go to 5th grade,9,m
5. Who is the first person you are going to hug when lockdown is over?,No one!! You don’t know who still has it!! The virus....,9,m
6. Where is the first place you want to go after the lockdown?,School. Because I get to see all my friends again.,9,m
7. What do you think we can do to make the coronavirus go away?,Stay home and wash your hands after you go to the bathroom and after you eat and when you get home,9,m
8. Is Mama a good teacher?,"Yes, but she’s a better Nurse!",9,m
9. How did the Coronavirus start?,"An animal in China got sick, a bat or a chicken, and a chef cooked it and people ate it and they caught the virus",9,m
"10. If you had to wear protective clothing to help you, what would it be?","A yellow or a white body suit, with a helmet and goggles. Like the doctors in the ER.",9,m
11. Are you enjoying the lockdown?,"Yes, because I stay home.",9,m
12. What is the best thing about having to stay at home?,Spending time with my family,9,m
1. What is the Coronavirus?,A deadly disease that is sweeping over the whole entire world,10,m
2. Who is the Prime Minister?,Why does that matter?!?! Justin Trudeau.,10,m
3. How many days have we been in lockdown?,What day is it today? 85 days,10,m
4. Do you want to go back to school?,NO,10,m
5. Who is the first person you are going to hug when lockdown is over?,Loooooong pause......nanny,10,m
6. Where is the first place you want go?,Coconut curry from Thailand?,10,m
7. What do you think we can do to get rid of the Coronavirus?,"I’m quartine, social distance, wear masks",10,m
8. Are mom and dad good teachers?,They don’t teach me..but my mom is a good scheduler.,10,m
9. How did the Coronavirus start?,Some idiot ate a diseased bat.,10,m
10. If you had to wear protective clothing to help you what would it be?,A gigantic bubble,10,m
11. Are you enjoying lock down?,Yep! People are safe and I can chill.,10,m
12. What’s your favourite thing we have done together during lockdown?,Hugging nanny but with a mask on and gloves on.,10,m
1. What is the corona virus?,A virus that the Chinese government paid an American to bring over from an American chemistry lab.,10,m
2. Who is the president?,Donald Trump,10,m
3. How many days have we been in lockdown?,50 million,10,m
4. Do you want to go back to school?,Never,10,m
5. Who is the first person you are going to hug when lockdown is over, Alyssa,10,m
6. Where is the first place you want to go, Alyssas house,10,m
7. What do you think we can do to get rid of the Coronavirus, Send everyone who has it to Antarctica,10,m
8. Is mama a good teacher, Nah,10,m
9. How did the Coronavirus start?,“The chemistry lab remember”,10,m
10. If you had to wear protective clothing to help you what would it be, A jumpsuit with a camo gas mask,10,m
11. Are you enjoying lockdown?,ABSOLUTELY,10,m
12. Do you know what lockdown is?,"it’s the quarantine. It’s where we have to stay say 6 feet apart from other human beans, and why are we called HUMAN BEANS...  we aren’t beans",10,m
1. What is the Coronavirus?,B- Virus that China made,10,f
2. Who is the president?,B- Donald J Trump,10,f
3. How many days have we been in “quarantine?”,B- 57,10,f
4. Do you want to go back to school?,B- Yes but only to see my friends,10,f
5. Who is the first person you are going to hug when this is over?,B- Haven,10,f
